DN,BEGIN_TIME,END_TIME,R001_001,R001_002,R001_003,R001_004,R001_005,R001_006,R001_007,R001_008,R001_009,R001_010,R001_011,R001_012,R001_014,R001_016,R001_018,R001_020,R001_022,R001_013,R001_015,R001_017,R001_019,R001_021,RATE
309715,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 11:45,2018/7/4 12:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,56,74,0,0,80,57,74,0.9
316297,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 12:00,2018/7/4 12:15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51,42,87,0,0,51,42,88,0.9
322882,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 12:15,2018/7/4 12:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,53,77,0,0,51,53,77,0.9
329464,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 12:30,2018/7/4 12:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,65,93,0,0,57,65,93,0.9
336046,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 12:45,2018/7/4 13:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,79,45,104,0,0,79,46,104,0.9
342628,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 13:00,2018/7/4 13:15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,89,63,122,0,0,89,64,122,0.9
349206,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 13:15,2018/7/4 13:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,51,93,0,0,83,51,93,0.9
355785,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 13:30,2018/7/4 13:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,68,114,0,0,80,68,114,0.9
362366,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 13:45,2018/7/4 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,47,105,0,0,67,47,105,0.9
368948,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 14:00,2018/7/4 14:15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,88,72,122,0,0,88,74,122,0.9
375530,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 14:15,2018/7/4 14:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,75,95,0,0,85,75,95,0.9
382116,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 14:30,2018/7/4 14:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,70,107,0,0,108,70,107,0.9
388705,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 14:45,2018/7/4 15:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,108,78,107,0,0,108,79,107,0.9
395294,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 15:00,2018/7/4 15:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,52,96,0,0,79,52,96,0.9
401880,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 15:15,2018/7/4 15:30,0,0,0,0,0,0,4,0,0,0,0,0,0,0,59,66,80,0,0,59,70,80,0.9
408468,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 15:30,2018/7/4 15:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,76,67,0,0,49,76,67,0.9
415054,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 15:45,2018/7/4 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,74,78,0,0,60,74,78,0.9
421643,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 16:00,2018/7/4 16:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,43,83,0,0,61,43,83,0.9
428232,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 16:15,2018/7/4 16:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,37,92,0,0,64,38,92,0.9
434833,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 16:30,2018/7/4 16:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,63,111,0,0,64,63,111,0.9
441434,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 16:45,2018/7/4 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,66,90,0,0,64,66,90,0.9
448035,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 17:00,2018/7/4 17:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,60,104,0,0,86,60,104,0.9
454636,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 17:15,2018/7/4 17:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,50,113,0,0,53,50,113,0.9
461234,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 17:30,2018/7/4 17:45,0,0,0,0,0,0,3,0,0,0,0,0,0,0,65,102,113,0,0,65,105,113,0.9
467815,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 17:45,2018/7/4 18:00,0,0,0,0,0,0,2,0,0,0,0,0,0,0,108,79,121,0,0,108,81,121,0.94
474415,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 18:00,2018/7/4 18:15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,88,59,91,0,0,88,61,91,0.9
481008,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 18:15,2018/7/4 18:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,83,117,0,0,88,83,117,0.9
487606,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 18:30,2018/7/4 18:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,63,119,0,0,85,63,119,0.9
494209,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 18:45,2018/7/4 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,62,86,0,0,86,62,86,0.9
500812,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 19:00,2018/7/4 19:15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,141,65,86,0,0,141,66,86,0.9
507410,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 19:15,2018/7/4 19:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,77,89,0,0,81,77,89,0.9
514008,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 19:30,2018/7/4 19:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,69,99,0,0,80,69,99,0.9
520603,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 19:45,2018/7/4 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,56,77,0,0,80,56,77,0.9
527201,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 20:00,2018/7/4 20:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,65,72,0,0,55,65,72,0.9
533802,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 20:15,2018/7/4 20:30,0,0,0,0,0,0,3,0,0,0,0,0,0,0,48,43,59,0,0,48,44,61,0.9
540397,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 20:30,2018/7/4 20:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,40,61,0,0,74,40,61,0.9
546995,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 20:45,2018/7/4 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,31,77,0,0,78,31,77,0.9
553593,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 21:00,2018/7/4 21:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,65,92,0,0,58,65,92,0.9
560193,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 21:15,2018/7/4 21:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,45,86,0,0,60,45,86,0.9
566796,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 21:30,2018/7/4 21:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,31,79,0,0,41,31,79,0.9
573391,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 21:45,2018/7/4 22:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,59,40,65,0,0,59,41,65,0.9
579995,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 22:00,2018/7/4 22:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,32,72,0,0,59,32,72,0.9
586614,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 22:15,2018/7/4 22:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,39,72,0,0,35,40,72,0.9
593238,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 22:30,2018/7/4 22:45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,22,71,0,0,22,23,71,0.9
599862,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 22:45,2018/7/4 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,61,67,0,0,30,61,67,0.9
606486,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 23:00,2018/7/4 23:15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,37,70,0,0,33,38,70,0.9
613107,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 23:15,2018/7/4 23:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,24,93,0,0,23,24,93,0.9
619728,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 23:30,2018/7/4 23:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,33,75,0,0,29,33,75,0.9
626352,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/4 23:45,2018/7/5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,39,56,0,0,23,39,56,0.9
0,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5,2018/7/5 0:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,77,0,0,25,26,77,0.9
6624,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 0:15,2018/7/5 0:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34,17,92,0,0,34,18,92,0.9
13248,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 0:30,2018/7/5 0:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,21,87,0,0,32,21,87,0.9
19860,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 0:45,2018/7/5 1:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34,24,66,0,0,34,25,66,0.9
26764,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 1:15,2018/7/5 1:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,8,53,0,0,36,8,53,0.9
33375,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 1:30,2018/7/5 1:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,65,0,0,23,14,65,0.9
39987,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 1:45,2018/7/5 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,85,0,0,18,24,85,0.9
46602,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 2:00,2018/7/5 2:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,13,76,0,0,29,13,76,0.9
53210,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 2:15,2018/7/5 2:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,55,0,0,18,12,55,0.9
59804,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 2:30,2018/7/5 2:45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,11,68,0,0,27,12,68,0.9
66398,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 2:45,2018/7/5 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,17,68,0,0,35,17,68,0.9
72982,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 3:00,2018/7/5 3:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,19,76,0,0,32,19,76,0.9
79585,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 3:15,2018/7/5 3:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,26,57,0,0,38,26,57,0.9
86191,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 3:30,2018/7/5 3:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,19,79,0,0,26,19,79,0.9
92779,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 3:45,2018/7/5 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,12,73,0,0,26,12,73,0.9
99366,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 4:00,2018/7/5 4:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,52,0,0,21,14,52,0.9
105938,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 4:15,2018/7/5 4:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,14,74,0,0,28,14,74,0.9
112504,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 4:30,2018/7/5 4:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10,67,0,0,26,10,67,0.9
119072,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 4:45,2018/7/5 5:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,20,62,0,0,35,20,62,0.9
125637,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 5:00,2018/7/5 5:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,19,68,0,0,36,19,68,0.9
132214,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 5:15,2018/7/5 5:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,15,77,0,0,24,16,77,0.9
138800,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 5:30,2018/7/5 5:45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,14,77,0,0,26,14,78,0.9
145386,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 5:45,2018/7/5 6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,21,65,0,0,32,21,65,0.9
151972,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 6:00,2018/7/5 6:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,29,74,0,0,46,29,74,0.9
158558,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 6:15,2018/7/5 6:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,22,72,0,0,44,22,72,0.9
165138,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 6:30,2018/7/5 6:45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,42,81,0,0,40,43,81,0.9
171709,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 6:45,2018/7/5 7:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,39,92,0,0,46,39,92,0.9
178287,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 7:00,2018/7/5 7:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,43,80,0,0,62,43,80,0.9
184871,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 7:15,2018/7/5 7:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,29,68,0,0,48,29,68,0.9
191453,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 7:30,2018/7/5 7:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,38,90,0,0,55,38,90,0.9
198038,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 7:45,2018/7/5 8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,38,85,0,0,53,38,85,0.9
204625,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 8:00,2018/7/5 8:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,31,70,0,0,67,31,70,0.9
211218,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 8:15,2018/7/5 8:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,30,57,0,0,42,30,57,0.9
217811,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 8:30,2018/7/5 8:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,38,55,0,0,44,38,55,0.9
224404,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 8:45,2018/7/5 9:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,49,67,0,0,53,49,67,0.9
230997,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 9:00,2018/7/5 9:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,39,62,0,0,55,39,62,0.9
237587,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 9:15,2018/7/5 9:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,54,47,73,0,0,54,48,73,0.9
244179,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 9:30,2018/7/5 9:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,61,68,0,0,47,61,68,0.9
250768,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 9:45,2018/7/5 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,64,63,0,0,90,64,63,0.9
257373,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 10:00,2018/7/5 10:15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,60,72,0,0,66,60,73,0.9
263969,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 10:15,2018/7/5 10:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,50,70,0,0,48,50,70,0.9
270567,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 10:30,2018/7/5 10:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,59,61,0,0,36,59,61,0.9
277151,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 10:45,2018/7/5 11:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,70,68,66,0,0,70,69,66,0.9
283743,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 11:00,2018/7/5 11:15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,74,57,86,0,0,74,57,87,0.9
290337,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 11:15,2018/7/5 11:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55,81,69,0,0,55,82,69,0.9
296913,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 11:30,2018/7/5 11:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,76,87,0,0,62,76,87,0.9
303517,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 11:45,2018/7/5 12:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,106,73,92,0,0,106,74,92,0.9
310123,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 12:00,2018/7/5 12:15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,71,52,77,0,0,71,56,77,0.9
316711,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 12:15,2018/7/5 12:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,53,71,0,0,60,53,71,0.9
323297,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 12:30,2018/7/5 12:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,86,84,0,0,51,86,84,0.9
329897,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 12:45,2018/7/5 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,79,0,0,55,55,79,0.9
336488,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 13:00,2018/7/5 13:15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,53,95,0,0,66,54,95,0.9
343091,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 13:15,2018/7/5 13:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,58,81,0,0,80,58,81,0.9
349679,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 13:30,2018/7/5 13:45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65,50,83,0,0,65,51,83,0.9
356270,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 13:45,2018/7/5 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,54,85,0,0,59,54,85,0.9
362859,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 14:00,2018/7/5 14:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,73,0,0,59,59,73,0.9
369447,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 14:15,2018/7/5 14:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,48,64,0,0,69,48,64,0.9
376039,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 14:30,2018/7/5 14:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,62,97,0,0,80,62,97,0.9
382628,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 14:45,2018/7/5 15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,54,72,0,0,70,54,72,0.9
389221,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 15:00,2018/7/5 15:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,54,70,0,0,67,54,70,0.9
395804,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 15:15,2018/7/5 15:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,97,60,64,0,0,97,61,64,0.9
402394,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 15:30,2018/7/5 15:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,68,71,0,0,70,68,71,0.9
408980,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/5 15:45,2018/7/5 16:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65,84,67,0,0,65,85,67,0.9
